,QGL,Qo,PFUNDO,TFUNDO,psup,TMONCKTP,qliq,QGT,Qw,bsw,rgo,rgl,delta_p
130,0.0,1485.0,166.5014339086941,88.0,60.0,24.884383643827867,1500.0,1500000.0,15.0,0.01,1010.10101010101,1000.0,106.50143390869411
131,0.0,1350.0,167.9964371902554,88.0,60.0,27.52730329500527,1500.0,1500000.0,150.0,0.1,1111.111111111111,1000.0,107.99643719025539
132,0.0,1050.0,171.92648759166562,88.0,60.0,32.27443354759986,1500.0,1500000.0,450.0,0.3,1428.571428571429,1000.0,111.92648759166562
133,0.0,600.0,182.35710672664436,88.0,60.0,36.46256205383229,1500.0,1500000.0,900.0,0.6,2500.0,1000.0,122.35710672664436
134,0.0,149.99999999999997,181.09684554260213,88.0,60.0,43.3063014813424,1500.0,1500000.0,1350.0,0.9,10000.000000000002,1000.0,121.09684554260213
135,0.0,15.000000000000014,182.69019254165332,88.0,60.0,44.48852955022342,1500.0,1500000.0,1485.0,0.99,99999.9999999999,1000.0,122.69019254165332
136,0.0,2970.0,184.42791296646703,88.0,60.0,41.51183092749627,3000.0,60000.0,30.0,0.01,20.2020202020202,20.0,124.42791296646703
137,0.0,2700.0,187.4675767284235,88.0,60.0,45.94138442906836,3000.0,60000.0,300.0,0.1,22.22222222222222,20.0,127.4675767284235
138,0.0,2100.0,194.8073831533569,88.0,60.0,53.406656056079896,3000.0,60000.0,900.0,0.3,28.571428571428573,20.0,134.8073831533569
139,0.0,1200.0,208.16200675375296,88.0,60.0,60.93244573912489,3000.0,60000.0,1800.0,0.6,50.0,20.0,148.16200675375296
140,0.0,299.99999999999994,212.9732187094297,88.0,60.0,65.0059348190783,3000.0,60000.0,2700.0,0.9,200.00000000000003,20.0,152.9732187094297
141,0.0,30.00000000000003,212.62636755223224,88.0,60.0,65.96019224444811,3000.0,60000.0,2970.0,0.99,1999.9999999999984,20.0,152.62636755223224
142,0.0,2970.0,153.32996296434789,88.0,60.0,40.38795909706689,3000.0,600000.0,30.0,0.01,202.020202020202,200.0,93.32996296434789
143,0.0,2700.0,154.0410854305667,88.0,60.0,44.52124682021318,3000.0,600000.0,300.0,0.1,222.22222222222223,200.0,94.04108543056671
144,0.0,2100.0,156.63640261803036,88.0,60.0,51.385333430822925,3000.0,600000.0,900.0,0.3,285.7142857142857,200.0,96.63640261803036
145,0.0,1200.0,170.06197158700982,88.0,60.0,57.853411300016695,3000.0,600000.0,1800.0,0.6,500.0,200.0,110.06197158700982
146,0.0,299.99999999999994,166.33257856208604,88.0,60.0,62.56643806673644,3000.0,600000.0,2700.0,0.9,2000.0000000000005,200.0,106.33257856208604
147,0.0,30.00000000000003,168.1596026207276,88.0,60.0,63.63447214861325,3000.0,600000.0,2970.0,0.99,19999.99999999998,200.0,108.15960262072761
148,0.0,2970.0,195.50970026980605,88.0,60.0,39.57986395974324,3000.0,1500000.0,30.0,0.01,505.050505050505,500.0,135.50970026980605
149,0.0,2700.0,198.4158962403505,88.0,60.0,42.68806524919879,3000.0,1500000.0,300.0,0.1,555.5555555555555,500.0,138.4158962403505
150,0.0,2100.0,205.6123475203173,88.0,60.0,47.94348607882818,3000.0,1500000.0,900.0,0.3,714.2857142857143,500.0,145.6123475203173
151,0.0,1200.0,222.857202932652,88.0,60.0,52.36381153643451,3000.0,1500000.0,1800.0,0.6,1250.0,500.0,162.857202932652
152,0.0,299.99999999999994,224.8164449573459,88.0,60.0,58.1064204903392,3000.0,1500000.0,2700.0,0.9,5000.000000000001,500.0,164.8164449573459
153,0.0,30.00000000000003,228.18308111522865,88.0,60.0,59.062358538894365,3000.0,1500000.0,2970.0,0.99,49999.99999999995,500.0,168.18308111522865
154,0.0,2970.0,310.5827151548826,88.0,60.0,31.41917340048928,3000.0,3000000.0,30.0,0.01,1010.10101010101,1000.0,250.58271515488258
155,0.0,2700.0,314.8483810713042,88.0,60.0,34.009489685389894,3000.0,3000000.0,300.0,0.1,1111.111111111111,1000.0,254.84838107130417
156,0.0,2100.0,324.8330988621395,88.0,60.0,38.63968606238589,3000.0,3000000.0,900.0,0.3,1428.571428571429,1000.0,264.8330988621395
157,0.0,1200.0,343.39794896868074,88.0,60.0,42.62565785744998,3000.0,3000000.0,1800.0,0.6,2500.0,1000.0,283.39794896868074
158,0.0,299.99999999999994,356.3119618606597,88.0,60.0,48.58417927369853,3000.0,3000000.0,2700.0,0.9,10000.000000000002,1000.0,296.3119618606597
159,0.0,30.00000000000003,361.4469274693168,88.0,60.0,49.55918801042703,3000.0,3000000.0,2970.0,0.99,99999.9999999999,1000.0,301.4469274693168
160,0.0,6435.0,221.2089512607581,88.0,60.0,63.08123143189244,6500.0,130000.0,65.0,0.01,20.2020202020202,20.0,161.2089512607581
161,0.0,5850.0,225.19231802290443,88.0,60.0,66.02024002450551,6500.0,130000.0,650.0,0.1,22.22222222222222,20.0,165.19231802290443
162,0.0,4550.0,235.008913548839,88.0,60.0,70.69038127863534,6500.0,130000.0,1950.0,0.3,28.571428571428573,20.0,175.008913548839
163,0.0,2600.0,255.46459223130583,88.0,60.0,75.19960798160821,6500.0,130000.0,3900.0,0.6,50.0,20.0,195.46459223130583
164,0.0,649.9999999999999,262.85636046510774,88.0,60.0,77.39437247156508,6500.0,130000.0,5850.0,0.9,200.00000000000003,20.0,202.85636046510774
165,0.0,65.00000000000006,269.13557503287973,88.0,60.0,77.84908436002362,6500.0,130000.0,6435.0,0.99,1999.9999999999984,20.0,209.13557503287973
166,0.0,6435.0,248.7529632057227,88.0,60.0,61.06469236515014,6500.0,1300000.0,65.0,0.01,202.020202020202,200.0,188.7529632057227
167,0.0,5850.0,256.7266552052532,88.0,60.0,63.64167703006448,6500.0,1300000.0,650.0,0.1,222.22222222222223,200.0,196.72665520525322
168,0.0,4550.0,272.76798990462964,88.0,60.0,67.68595112792543,6500.0,1300000.0,1950.0,0.3,285.7142857142857,200.0,212.76798990462964
169,0.0,2600.0,305.08414592854115,88.0,60.0,70.96980276282227,6500.0,1300000.0,3900.0,0.6,500.0,200.0,245.08414592854115
170,0.0,649.9999999999999,322.3481064788287,88.0,60.0,73.5712056896451,6500.0,1300000.0,5850.0,0.9,2000.0000000000005,200.0,262.3481064788287
171,0.0,65.00000000000006,331.2050580233695,88.0,60.0,74.0546428702653,6500.0,1300000.0,6435.0,0.99,19999.99999999998,200.0,271.2050580233695
172,0.0,6435.0,421.5370644485568,88.0,60.0,55.2540649885787,6500.0,3250000.0,65.0,0.01,505.050505050505,500.0,361.5370644485568
173,0.0,5850.0,431.4028749113013,88.0,60.0,57.368394223225366,6500.0,3250000.0,650.0,0.1,555.5555555555555,500.0,371.4028749113013
174,0.0,4550.0,454.9918703602448,88.0,60.0,60.795293167664845,6500.0,3250000.0,1950.0,0.3,714.2857142857143,500.0,394.9918703602448
175,0.0,2600.0,498.4134507661212,88.0,60.0,63.16710690851172,6500.0,3250000.0,3900.0,0.6,1250.0,500.0,438.4134507661212
